AssetID	AssetType	Type	Id	Depth	Name	DependencyType
6475	LP_REG_US-FY22-PS16774-7_T1___Awareness_Product_Webinar-DSTechnologyWorkshop	NA	NA	NA	NA	NA
6476	LP_CP_US-FY22-PS16774-7_T1___Awareness_Product_Webinar-DSTechnologyWorkshop	Form	43561	minimal	FM_VF_US-FY22-PS16774-7_Webinar-DSTechnologyWorkshop::Redirect to Webpage	NA
6477	LP_REG_WWHQ-FY21-3DP16595-8_T1___Awareness_Article_US-EN-3dprint-Virtual-Tour-Webinar-test	NA	NA	NA	NA	NA
6479	LP_REG_KR-FY22-PS16765-1_T1___Awareness_Product_2194-SNPLAB	NA	NA	NA	NA	NA
6481	Test HK Survey	NA	NA	NA	NA	NA
6483	LP_MKT_KR-FY22-PS16765-2_T1___Awareness_Product_2194-LAON	NA	NA	NA	NA	NA
6486	LP_REG_WWHQ-FY21-GSB16438-4_T1_Awareness_Product_ClickPrintingSoftware_US_EN-2200	NA	NA	NA	NA	NA
6488	LP_REG_DE-FY22-PRINT16754-1_T1___Consideration_Product_GenericContactMe	NA	NA	NA	NA	NA
6493	LP_MKT_WWHQ-FY21-GSB16432-37_T1_Consideration_Article-2201-10-ways-optimize-iframe-EN	NA	NA	NA	NA	NA
6495	LP_MKT_US-FY22-PS16773-1_T1-A_Awareness_Article_3d-page	NA	NA	NA	NA	NA
6496	LP_REG_WWHQ-FY22-3DP16806-70_T1___Awareness_Article_us-en-3dprint-campetella	NA	NA	NA	NA	NA
6499	LP_REG_CEHQ-FY22-PS16758-11_T1___Awareness_Article_Always-On-Hub-Download	Form	43867	minimal	FM_VF_CEHQ-FY22-PS16758-11_Always-On-Hub-Download::Redirect to Webpage	NA
6501	LP_REG_CEHQ-FY22-PS16758-10_T1___Awareness_Article_Webinar-Hub-Download	Form	43900	minimal	FM_VF_CEHQ-FY22-PS16758-10_Webinar-Hub-Download::Redirect to Webpage	NA
6502	LP_REG_CEHQ-FY22-PS16758-10_T1___Awareness_Article_Webinar-Hub-ContactUs	Form	43916	minimal	FM_VF_CEHQ-FY22-PS16758-10_Webinar-Hub-ContactUs::Redirect to Webpage	NA
6504	LP_REG_AU-FY22-PS16764-1_T1-A_Awareness_Product_ADPExcessFee	NA	NA	NA	NA	NA
6505	LP_REG_CEHQ-FY22-PS16758-11_T1___Awareness_Article_SessionCapture	Form	43964	minimal	FM_VF_CEHQ-FY22-PS16758-11_SessionCapture::Redirect to Webpage	NA
6509	LP_REG_WWHQ-FY21-GSB16438-4_T1_Consideration_Product_ClickPrintingSoftware_US_EN-TY-2200	NA	NA	NA	NA	NA
6512	LP_REG_KR-FY22-PS16765-1_T1___Awareness_Product_2194-SNPLAB-Backup	NA	NA	NA	NA	NA
6513	LP_REG_WWHQ-FY21-GSB16438-4_T1_Awareness_Product_LargeFormatSecurity_US_EN-2200	NA	NA	NA	NA	NA
6515	LP_REG_TH-FY22-GSB16841-2_T1___Consideration_Product_TH-Left-Bank	NA	NA	NA	NA	NA
6519	LP_REG_WWHQ-FY21-GSB16438-4_T1_Awareness_Product_LargeFormatSecuritySpiceworks_US_EN-2200	NA	NA	NA	NA	NA
6520	LP_REG_WWHQ-FY21-GSB16438-4_T1_Awareness_Product_LargeFormatSecuritySpiceworks_US_EN_TY-2200	NA	NA	NA	NA	NA
6521	LP_REG_SG-FY21-PS16539-4_T1-A_Awareness_Product_SG-HP-For-Education	NA	NA	NA	NA	NA
6522	LP_REG_AU-FY22-PS16765-3_T1-A_Awareness_Product_Windows-11-R1	NA	NA	NA	NA	NA
6523	LP_REG_AU-FY22-PS16765-3_T1-A_Awareness_Product_Windows-11-R2	NA	NA	NA	NA	NA
6524	LP_REG_AU-FY22-PS16765-3_T1-A_Awareness_Product_Windows-11-R3	NA	NA	NA	NA	NA
6525	LP_REG_AU-FY22-PS16765-3_T1-A_Awareness_Product_Windows-11-R4	NA	NA	NA	NA	NA
6526	LP_REG_AU-FY22-PS16765-3_T1-A_Awareness_Product_Windows-11-R5	NA	NA	NA	NA	NA
6527	LP_REG_AU-FY22-PS16765-3_T1-A_Awareness_Product_Windows-11-R6	NA	NA	NA	NA	NA
6528	LP_REG_AU-FY22-PS16765-3_T1-A_Awareness_Product_Windows-11-R7	NA	NA	NA	NA	NA
